id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Year Released
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,85,255493,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1980-07-25,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,1980
5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011,83,214653,0,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],1980-06-27,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,4,1980
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,81,210173,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1980-07-25,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,1980
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',82,250987,0,['Journey'],['0rvjqX7ttXeg3mTy8Xscbt'],1981,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,4,1981
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,85,293827,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1982-11-30,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,4,1982
2374M0fQpWi3dLnB54qaLX,Africa,84,295893,0,['TOTO'],['0PFtn5NtBbbUNbU9EAmIWF'],1982-04-08,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,1982
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,81,248440,0,"['Queen', 'David Bowie']","['1dfeR4HaWDbWqFHLkxsg1d', '0oSGxfWSnnOXhD2fKuz2Gy']",1982-05-03,0.671,0.712,2,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805,4,1982
1OOtq8tRnDM8kG2gqUPjAj,Beat It,80,258040,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1982-11-30,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,4,1982
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,80,188987,0,['The Clash'],['3RGLhK1IP9jnYFH4BRFJBS'],1982,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,4,1982
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,85,253920,0,['The Police'],['5NGO30tJxFlKixkPSgXcFE'],1983-06-17,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,1983
